loss = 0.008297911275059328,	 val loss = 0.007734480459871466
loss = 0.008260738090459534,	 val loss = 0.007797667787941548
loss = 0.008208998526210712,	 val loss = 0.007903207133393465
loss = 0.008252742743228654,	 val loss = 0.0075639980647900515
loss = 0.008223460847891485,	 val loss = 0.00773942478737996
loss = 0.008272026858385288,	 val loss = 0.007758498445572536
loss = 0.008203510477825787,	 val loss = 0.0076787220533987
loss = 0.00821703204245404,	 val loss = 0.007156765074864312
loss = 0.008230615101225502,	 val loss = 0.007440381311624705
loss = 0.008255861778811716,	 val loss = 0.007866943903221912
loss = 0.00822136801714762,	 val loss = 0.0077095738141350935
loss = 0.008291350070818708,	 val loss = 0.007947789355315414
loss = 0.008239650869453342,	 val loss = 0.007474809399730446
loss = 0.00825189815758968,	 val loss = 0.007376557977225248
loss = 0.008295386869202327,	 val loss = 0.007730323617212171
loss = 0.008214928523651991,	 val loss = 0.007888073403683929
loss = 0.008245188827560005,	 val loss = 0.007156167264580847
loss = 0.008250020854760742,	 val loss = 0.007582322495534725
loss = 0.008218509522016906,	 val loss = 0.007391981656438818
loss = 0.0082060578385081,	 val loss = 0.007302500830094561
loss = 0.008279212772566514,	 val loss = 0.008015350206396828
loss = 0.008215029734098994,	 val loss = 0.00784844514434295
loss = 0.00835554780968527,	 val loss = 0.007818951944483812
loss = 0.008276277858092979,	 val loss = 0.007235770317125978
loss = 0.00828649434623747,	 val loss = 0.007246946155700375
loss = 0.008492845504923355,	 val loss = 0.007610118272938105
loss = 0.008269486054215094,	 val loss = 0.007645181108730571
loss = 0.008283356935076907,	 val loss = 0.007487559816103224
loss = 0.008243189018108426,	 val loss = 0.0077588709985607265
loss = 0.008254790039931997,	 val loss = 0.008370350207891689
loss = 0.008280238525845375,	 val loss = 0.00778062637102834
loss = 0.008287366444689871,	 val loss = 0.007807051668941121
loss = 0.008341917007638009,	 val loss = 0.007590020999437768
loss = 0.00822010193907275,	 val loss = 0.00807520020312805
loss = 0.008273431908047439,	 val loss = 0.007649389708768621
loss = 0.008238666579785227,	 val loss = 0.007977066732147379
loss = 0.008248765256240511,	 val loss = 0.008116420181826864
loss = 0.008316892571876034,	 val loss = 0.007633463642369767
loss = 0.008206615002026671,	 val loss = 0.008127060092248763
loss = 0.008228306814996252,	 val loss = 0.00771208866457715
loss = 0.00822616347891893,	 val loss = 0.00728386192962568
loss = 0.008256493412405062,	 val loss = 0.007112166078621805
loss = 0.0082627599812663,	 val loss = 0.007196284448182865
loss = 0.008224468124678764,	 val loss = 0.008682519116664913
loss = 0.00822163466866688,	 val loss = 0.007499086531312632
loss = 0.008228550600416131,	 val loss = 0.007291633396847344
loss = 0.00819715686150566,	 val loss = 0.0073804905089787
loss = 0.00837413172923488,	 val loss = 0.007911544943702806
loss = 0.008364770566450137,	 val loss = 0.007592694225569613
loss = 0.008304301174134516,	 val loss = 0.0071730525310065175
loss = 0.00820673291641238,	 val loss = 0.007172814798066558
loss = 0.008235123086013022,	 val loss = 0.007525078491998202
loss = 0.008198132637388427,	 val loss = 0.008134655202770845
loss = 0.008259873100684158,	 val loss = 0.0072718924996402765
loss = 0.00825618996129936,	 val loss = 0.0073039511702805
loss = 0.008204869061129173,	 val loss = 0.0070973155214992985
loss = 0.00833256096303272,	 val loss = 0.008479693663955765
loss = 0.008227517929201348,	 val loss = 0.007782551761902241
loss = 0.008220694033014045,	 val loss = 0.007987092502720866
loss = 0.008216111720860153,	 val loss = 0.008076609543842615
loss = 0.008208889298977846,	 val loss = 0.0079822523481966
loss = 0.00822221022060558,	 val loss = 0.007218257813944171
loss = 0.00829214828080748,	 val loss = 0.007321609225928216
loss = 0.008266676194781223,	 val loss = 0.007662728848414421
loss = 0.008228051737215476,	 val loss = 0.007262000484010599
loss = 0.008273199486978654,	 val loss = 0.007575096956504408
loss = 0.008285441044277378,	 val loss = 0.008154793767143
loss = 0.008234456925570443,	 val loss = 0.007815552472524693
loss = 0.008242918229395007,	 val loss = 0.00808366771098437
loss = 0.008195672068573266,	 val loss = 0.007989520916892827
loss = 0.008242162882895133,	 val loss = 0.007714596847121105
loss = 0.008240915835230718,	 val loss = 0.007769872384090357
loss = 0.008284292349437018,	 val loss = 0.0075300267966911085
loss = 0.008259279240895399,	 val loss = 0.007149236099574088
loss = 0.008301659485877175,	 val loss = 0.0076671671916134915
loss = 0.008227632148713176,	 val loss = 0.006983216653923792
loss = 0.008221811916506318,	 val loss = 0.0072690989617626494
loss = 0.00823625660984345,	 val loss = 0.007822903381709212
loss = 0.008284717283763563,	 val loss = 0.008450915353760927
loss = 0.008250905418545897,	 val loss = 0.007812976870358517
loss = 0.00822977528942022,	 val loss = 0.0077714805239265765
loss = 0.008229034583224711,	 val loss = 0.00926290857534915
loss = 0.008290446038059694,	 val loss = 0.00883923678329682
loss = 0.008233105754563057,	 val loss = 0.007914574124432151
loss = 0.008243506950558989,	 val loss = 0.007319875065377497
loss = 0.008263094213865549,	 val loss = 0.007347229196272743
loss = 0.008251214922998856,	 val loss = 0.007359148472118325
loss = 0.008229377675286541,	 val loss = 0.007712262524651675
loss = 0.008326198327689386,	 val loss = 0.007869320690766055
loss = 0.008226268328594459,	 val loss = 0.008297036728249321
loss = 0.008213358566936352,	 val loss = 0.0071451183300390835
loss = 0.008226670641133985,	 val loss = 0.006888435161890659
loss = 0.008194064434001091,	 val loss = 0.007374725015869522
loss = 0.00817591239858241,	 val loss = 0.007235472632112266
loss = 0.00824231203555628,	 val loss = 0.0077123278330910585
loss = 0.008274237377020212,	 val loss = 0.008416873414348684
loss = 0.008206388721338638,	 val loss = 0.0073443097053618525
loss = 0.008244407882563967,	 val loss = 0.007286194402192559
loss = 0.008300841790910915,	 val loss = 0.007408441152351338
loss = 0.00829698277478237,	 val loss = 0.007361750995388085
loss = 0.008322614523094228,	 val loss = 0.007594288271058643
loss = 0.00826931933599679,	 val loss = 0.007101268187867776
loss = 0.00820944788913413,	 val loss = 0.007683960120197955
loss = 0.008224220037957653,	 val loss = 0.007329663135659863
loss = 0.008217547964909672,	 val loss = 0.00782200712146506
loss = 0.008210076967170642,	 val loss = 0.007777074723391705
loss = 0.008316008897970309,	 val loss = 0.007167407067147406
loss = 0.008196213876153909,	 val loss = 0.007329524071255639
loss = 0.008191585923201376,	 val loss = 0.008046600220108238
loss = 0.008255663106003354,	 val loss = 0.007178678097136762
loss = 0.008211663221235014,	 val loss = 0.007289936200882642
loss = 0.00823469830934034,	 val loss = 0.0069330172882170246
loss = 0.008207222682051787,	 val loss = 0.007979461300306486
loss = 0.008264034898524128,	 val loss = 0.008783779863944189
loss = 0.008241155309251473,	 val loss = 0.007255005754802993
loss = 0.008239337318543403,	 val loss = 0.00794927559845878
loss = 0.008269805419049215,	 val loss = 0.006797534463898787
loss = 0.008182034095651545,	 val loss = 0.007454151028046108
loss = 0.008227113419308677,	 val loss = 0.007645818640468767
loss = 0.008273521927019484,	 val loss = 0.007386008720586911
loss = 0.008328347186082621,	 val loss = 0.007664891965234068
loss = 0.00824615464286642,	 val loss = 0.007748892294759954
loss = 0.008218853306060085,	 val loss = 0.008813699614468398
loss = 0.008198133687890914,	 val loss = 0.006948893996562713
loss = 0.008258119589141693,	 val loss = 0.007513313554222549
loss = 0.008302259844179476,	 val loss = 0.00750945990699829
loss = 0.008277208646474863,	 val loss = 0.007316219245589076
loss = 0.008297872791411795,	 val loss = 0.007989597568594811
loss = 0.008354234297910757,	 val loss = 0.007827785382443225
loss = 0.008236749218256015,	 val loss = 0.007631919491514052
loss = 0.00823241216167302,	 val loss = 0.0076066358168561075
loss = 0.008238270346268133,	 val loss = 0.007406248753575784
loss = 0.008248898123678091,	 val loss = 0.007785106838833463
loss = 0.008246386738337289,	 val loss = 0.007594936317363309
loss = 0.008220513479874219,	 val loss = 0.007495431306357818
loss = 0.008238022931082157,	 val loss = 0.007622079518455957
loss = 0.008192284485355469,	 val loss = 0.007373298889166578
loss = 0.008278277693754065,	 val loss = 0.007230376432912229
loss = 0.008336583834528354,	 val loss = 0.0077504468898017785
loss = 0.00824251588576737,	 val loss = 0.0076910233435186015
loss = 0.008235805539705193,	 val loss = 0.00721611807945317
loss = 0.008193834657373006,	 val loss = 0.008108463186073894
loss = 0.008188456767726237,	 val loss = 0.007532178252753898
loss = 0.008198110763598372,	 val loss = 0.007303232322516186
loss = 0.008216890776454112,	 val loss = 0.007955568505468491
loss = 0.00825474955633294,	 val loss = 0.0073588886804787975
loss = 0.008216008576047644,	 val loss = 0.007207235775655822
loss = 0.008270398077489806,	 val loss = 0.007623094546688109
loss = 0.008237856465517494,	 val loss = 0.007824087329508504
loss = 0.008261385676324087,	 val loss = 0.007353910618006679
loss = 0.008231875114890713,	 val loss = 0.008017482393513718
loss = 0.0082283589516111,	 val loss = 0.007565947156155318
loss = 0.008220735217132723,	 val loss = 0.007880760910202497
loss = 0.008225717530596744,	 val loss = 0.008004559198123812
loss = 0.008214583273640028,	 val loss = 0.008679340797297694
loss = 0.008240619326516341,	 val loss = 0.008830066634739727
loss = 0.008236850471854084,	 val loss = 0.006982241067893196
loss = 0.008241496724672122,	 val loss = 0.007857960618754711
loss = 0.008233034788901498,	 val loss = 0.008155152832315963
loss = 0.008253196230144467,	 val loss = 0.00744967458353732
loss = 0.00829699169991299,	 val loss = 0.007966892752778362
loss = 0.008219738072023985,	 val loss = 0.008654533649235248
loss = 0.008179523200854851,	 val loss = 0.007889172410205661
loss = 0.008205566380459786,	 val loss = 0.008557392652598599
loss = 0.008286961696309542,	 val loss = 0.007812816246097084
loss = 0.008239377431484748,	 val loss = 0.007941327444451128
loss = 0.008337658038693225,	 val loss = 0.007210762649629863
loss = 0.008210478487647293,	 val loss = 0.007643515655123199
loss = 0.008212812406205817,	 val loss = 0.007683894736201218
loss = 0.008194294037285579,	 val loss = 0.00800755388922262
loss = 0.008185003347354699,	 val loss = 0.008621853193109904
loss = 0.00828892987162461,	 val loss = 0.008308316530238107
loss = 0.008282437307505332,	 val loss = 0.007565219757663585
loss = 0.008219793008373293,	 val loss = 0.00861405415358844
loss = 0.008212162354495107,	 val loss = 0.007658951030430779
loss = 0.008169478795518152,	 val loss = 0.007778240142175773
loss = 0.008188283418585404,	 val loss = 0.0071120319394065885
loss = 0.008209987022542593,	 val loss = 0.007390452918041287
loss = 0.008411865301666465,	 val loss = 0.008379691593411096
loss = 0.008513405032949103,	 val loss = 0.008103240422728086
loss = 0.008441771248067635,	 val loss = 0.007726435986855858
loss = 0.008176107472763957,	 val loss = 0.007231756593096435
